participant_id,block,trial_index,win,state2_color,trial_index_global,stage,choice
278,3,29,0,pink,95,1,1
278,3,29,0,pink,95,2,2
278,3,30,1,pink,96,1,1
278,3,30,1,pink,96,2,1
278,3,31,0,blue,97,1,1
278,3,31,0,blue,97,2,1
278,3,32,0,blue,98,1,1
278,3,32,0,blue,98,2,1
625,1,0,1,pink,1,1,1
625,1,0,1,pink,1,2,1
625,1,1,0,pink,2,1,1
625,1,1,0,pink,2,2,1
625,1,2,0,pink,3,1,1
625,1,2,0,pink,3,2,1
625,1,3,1,pink,4,1,1
625,1,3,1,pink,4,2,2
625,1,4,0,blue,5,1,1
625,1,4,0,blue,5,2,2
625,1,5,1,blue,6,1,1
625,1,5,1,blue,6,2,1
625,1,6,0,pink,7,1,1
625,1,6,0,pink,7,2,2
625,1,7,0,pink,8,1,1
625,1,7,0,pink,8,2,1
625,1,8,0,pink,9,1,1
625,1,8,0,pink,9,2,2
625,1,9,1,blue,10,1,1
625,1,9,1,blue,10,2,1
625,1,10,1,pink,11,1,1
625,1,10,1,pink,11,2,2
625,1,11,0,blue,12,1,1
625,1,11,0,blue,12,2,1
625,1,12,0,blue,13,1,1
625,1,12,0,blue,13,2,2
625,1,13,1,blue,14,1,1
625,1,13,1,blue,14,2,2
625,1,14,1,pink,15,1,1
625,1,14,1,pink,15,2,2
625,1,15,1,pink,16,1,1
625,1,15,1,pink,16,2,2
625,1,16,0,blue,17,1,1
625,1,16,0,blue,17,2,1
625,1,17,1,pink,18,1,1
625,1,17,1,pink,18,2,2
625,1,18,1,pink,19,1,1
625,1,18,1,pink,19,2,1
625,1,19,0,blue,20,1,1
625,1,19,0,blue,20,2,1
625,1,20,0,pink,21,1,1
625,1,20,0,pink,21,2,1
625,1,21,1,pink,22,1,1
625,1,21,1,pink,22,2,2
625,1,22,1,pink,23,1,2
625,1,22,1,pink,23,2,2
625,1,23,1,blue,24,1,1
625,1,23,1,blue,24,2,2
625,1,24,0,pink,25,1,1
625,1,24,0,pink,25,2,1
625,1,25,0,blue,26,1,2
625,1,25,0,blue,26,2,2
625,1,26,1,pink,27,1,2
625,1,26,1,pink,27,2,2
625,1,27,1,pink,28,1,1
625,1,27,1,pink,28,2,2
625,1,28,0,blue,29,1,2
625,1,28,0,blue,29,2,1
625,1,29,0,blue,30,1,2
625,1,29,0,blue,30,2,2
625,1,30,1,pink,31,1,1
625,1,30,1,pink,31,2,2
625,1,31,1,pink,32,1,1
625,1,31,1,pink,32,2,1
625,1,32,0,blue,33,1,1
